,Title,Artist,Year,Count
0,What Lovers Do,Maroon 5 Featuring SZA,2017,14
1,Bad At Love,Halsey,2017,13
2,Love.,Kendrick Lamar Featuring Zacari,2017,23
3,Greatest Love Story,LANCO,2017,13
4,Like I Loved You,Brett Young,2017,10
5,Love So Soft,Kelly Clarkson,2017,12
6,I Could Use A Love Song,Maren Morris,2017,15
7,F**k Love,XXXTentacion Featuring Trippie Redd,2017,14
8,Love Galore,SZA Featuring Travis Scott,2017,20
9,Tell Me You Love Me,Demi Lovato,2017,1
10,Extra Luv,Future Featuring YG,2017,1
11,Love On The Brain,Rihanna,2017,22
12,Love On The Brain,Rihanna,2016,9
13,Fake Love,Drake,2017,17
14,Fake Love,Drake,2016,8
15,Let Me Love You,DJ Snake Featuring Justin Bieber,2017,14
16,Let Me Love You,DJ Snake Featuring Justin Bieber,2016,19
17,Love,Lana Del Rey,2017,2
18,Make Love,Gucci Mane & Nicki Minaj,2017,1
19,Love Me Now,John Legend,2017,11
20,Love Me Now,John Legend,2016,8
21,Love On The Weekend,John Mayer,2017,1
22,Love On The Weekend,John Mayer,2016,1
23,In The Name Of Love,Martin Garrix & Bebe Rexha,2017,5
24,In The Name Of Love,Martin Garrix & Bebe Rexha,2016,18
25,I Hate U I Love U,gnash Featuring Olivia O'Brien,2017,4
26,I Hate U I Love U,gnash Featuring Olivia O'Brien,2016,35
27,Hate U Love U,Olivia O'Brien,2017,1
28,Love To Lay,The Weeknd,2016,1
29,Luv,Tory Lanez,2016,22
30,Send My Love (To Your New Lover),Adele,2016,26
31,Send My Love (To Your New Lover),Adele,2015,1
32,American Country Love Song,Jake Owen,2016,17
33,Love Yourself,Justin Bieber,2016,37
34,Love Yourself,Justin Bieber,2015,4
35,"Huntin', Fishin' & Lovin' Every Day",Luke Bryan,2016,20
36,Love Make The World Go Round,Jennifer Lopez & Lin-Manuel Miranda,2016,1
37,What The World Needs Now Is Love,Broadway For Orlando,2016,1
38,If It Ain't Love,Jason Derulo,2016,8
39,Love Drought,Beyonce,2016,2
40,Drunk On Your Love,Brett Eldredge,2016,15
41,Let Me Love You,Ariana Grande Featuring Lil Wayne,2016,1
42,Same Old Love,Selena Gomez,2016,15
43,Same Old Love,Selena Gomez,2015,13
44,I Love This Life,LOCASH,2016,11
45,I Love This Life,LOCASH,2015,7
46,Used To Love You,Gwen Stefani,2016,5
47,Used To Love You,Gwen Stefani,2015,4
48,Somebody To Love,Jordan Smith,2016,1
49,Somebody To Love,Jordan Smith,2015,1
50,How Deep Is Your Love,Calvin Harris & Disciples,2015,20
51,I'd Just Love To Lay You Down,Barrett Baber,2015,1
52,Love Myself,Hailee Steinfeld,2015,16
53,Used To Love You Sober,Kane Brown,2015,1
54,Can't Sleep Love,Pentatonix,2015,1
55,Love Me,The 1975,2015,1
56,"I Don't Like It, I Love It",Flo Rida Featuring Robin Thicke & Verdine White,2015,14
57,Loving You Easy,Zac Brown Band,2015,17
58,Love Me Like You Do,Ellie Goulding,2015,34
59,Love You Like That,Canaan Smith,2015,20
60,Love Me Like You Mean It,Kelsea Ballerini,2015,18
61,Baby Be My Love Song,Easton Corbin,2015,16
62,Dance Like We're Making Love,Ciara,2015,1
63,Love Is Your Name,Steven Tyler,2015,1
64,I Need Your Love,"Shaggy Featuring Mohombi, Faydee, Costi",2015,8
65,She Don't Love You,Eric Paslay,2015,12
66,Nothing Without Love,Nate Ruess,2015,4
67,Nobody Love,Tori Kelly,2015,11
68,Good Lovin,Ludacris Featuring Miguel,2015,2
69,Love Me Harder,Ariana Grande & The Weeknd,2015,12
70,Love Me Harder,Ariana Grande & The Weeknd,2014,10
71,You Are In Love,Taylor Swift,2015,1
72,L.A.LOVE (la la),Fergie,2015,8
73,L.A.LOVE (la la),Fergie,2014,10
74,"Touchin, Lovin",Trey Songz Featuring Nicki Minaj,2015,5
75,"Touchin, Lovin",Trey Songz Featuring Nicki Minaj,2014,15
76,No Love,August Alsina,2015,5
77,No Love,August Alsina,2014,13
78,Wasted Love,Matt McAndrew,2015,1
79,Love Runs Out,OneRepublic,2014,20
80,Love Never Felt So Good,Michael Jackson & Justin Timberlake,2014,20
81,Who Do You Love?,YG Featuring Drake,2014,20
82,First Love,Jennifer Lopez,2014,3
83,Wild Wild Love,Pitbull Featuring G.R.L.,2014,18
84,Afire Love,Ed Sheeran,2014,1
85,Can't Help Falling In Love,Christina Grimmie,2014,1
86,Leave Your Lover,Sam Smith,2014,1
87,Wake Up Lovin' You,Craig Morgan,2014,2
88,I Can't Make You Love Me,Josh Kaufman,2014,1
89,How To Love,Christina Grimmie,2014,1
90,Drunk In Love,Beyonce Featuring Jay Z,2014,20
91,Helluva Life,Frankie Ballard,2014,18
92,Helluva Life,Frankie Ballard,2013,2
93,Love Is An Open Door,Kristen Bell & Santino Fontana,2014,4
94,Love Me Again,John Newman,2014,14
95,Love Me Again,John Newman,2013,4
96,Ordinary Love,U2,2014,2
97,Love Don't Die,The Fray,2014,9
98,Love More,Chris Brown Featuring Nicki Minaj,2014,5
99,Love More,Chris Brown Featuring Nicki Minaj,2013,21
100,I Luv This Sh*t,August Alsina Featuring Trinidad James,2014,5
101,I Luv This Sh*t,August Alsina Featuring Trinidad James,2013,15
102,Old School Love,Lupe Fiasco Featuring Ed Sheeran,2014,3
103,Old School Love,Lupe Fiasco Featuring Ed Sheeran,2013,2
104,Who You Love,John Mayer Featuring Katy Perry,2014,1
